bgs,bgs (2),bgs (3),bgs (4),bgs (5),bgs (6),bgs (7),bgs (8),bgs (9),bgs (10),bgs (11),bgs (12),bgs (13),sp_wt,news-item,news-item (2),news-item (3),news-item (4),news-item (5),news-item (6),news-item (7),news-item (8),news-item (9),news-item (10),news-item (11),news-item (12),news-item (13)
黄海,辽宁,丹东,H00JQ007,123.58,39.40,2018-05,8.17,10.20,0.77,0.016,0.005,0.008,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,三类,黄海,辽宁,丹东,H00JQ510,124.02,39.53,2018-05,8.06,9.64,0.69,0.100,0.002,0.066
黄海,辽宁,丹东,H21YQ501,123.65,39.74,2018-05,8.07,8.46,1.10,0.136,0.003,0.014,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,丹东,H21JQ508,123.83,39.54,2018-05,8.08,9.93,0.70,0.055,0.001,0.026
黄海,辽宁,丹东,H21YQ008,123.66,39.80,2018-05,8.00,8.12,1.30,0.186,0.004,0.014,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,丹东,H21YQ512,123.93,39.81,2018-05,8.03,7.70,1.13,0.199,0.005,0.024
黄海,辽宁,丹东,H21YQ514,123.61,39.57,2018-05,8.06,9.88,1.18,0.054,0.002,0.007,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,劣四类,黄海,辽宁,丹东,H21ZQ001,124.20,39.85,2018-05,7.93,7.70,1.30,0.529,0.014,0.021
黄海,辽宁,丹东,H21ZQ002,124.17,39.80,2018-05,7.94,7.93,1.15,0.393,0.010,0.013,三类,,,,,,,,,,,,,
,,,,,,,,,,,,,劣四类,黄海,辽宁,丹东,H21ZQ003,124.10,39.80,2018-05,7.97,7.57,1.79,0.517,0.029,0.031
黄海,辽宁,丹东,H21ZQ004,124.15,39.77,2018-05,7.95,7.97,1.24,0.401,0.011,0.007,四类,,,,,,,,,,,,,
,,,,,,,,,,,,,三类,黄海,辽宁,丹东,H21ZQ005,124.07,39.75,2018-05,7.99,8.35,1.16,0.336,0.009,0.013
黄海,辽宁,丹东,H21ZQ006,124.13,39.71,2018-05,8.00,8.22,0.96,0.270,0.010,0.005,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,黄海,辽宁,丹东,H21ZQ007,124.00,39.69,2018-05,8.01,8.40,0.81,0.243,0.007,0.014
渤海,辽宁,大连,B21YQ510,121.20,39.14,2018-05,8.18,9.61,0.62,0.047,0.004,0.014,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,B21YQ003,121.40,39.13,2018-05,8.23,9.74,0.78,0.139,0.004,0.017
黄海,辽宁,大连,H21YQ030,121.51,38.83,2018-05,7.91,8.60,0.89,0.937,0.019,0.049,劣四类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,H21ZQ014,121.77,39.00,2018-05,8.14,10.60,0.81,0.117,0.007,0.024
黄海,辽宁,大连,H21ZQ016,121.68,38.99,2018-05,8.19,10.90,0.94,0.188,0.005,0.022,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,B21YQ002,121.54,39.13,2018-05,8.25,9.68,0.82,0.116,0.014,0.017
渤海,辽宁,大连,B21YQ004,121.50,39.13,2018-05,8.23,9.72,0.70,0.149,0.005,0.021,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,B21YQ033,121.32,38.99,2018-05,8.13,9.46,1.23,0.102,0.004,0.029
黄海,辽宁,大连,H21YQ516,122.25,38.98,2018-05,8.16,9.40,0.72,0.039,0.007,未检出,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,H21YQ503,121.99,38.92,2018-05,8.07,10.20,0.73,0.098,0.008,0.021
黄海,辽宁,大连,H21YQ504,122.21,39.16,2018-05,8.11,9.70,0.69,0.085,0.009,0.030,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,H21YQ013,122.00,39.07,2018-05,8.11,10.20,0.78,0.114,0.005,0.019
黄海,辽宁,大连,H21YQ026,122.18,39.22,2018-05,8.10,9.68,0.85,0.104,0.016,0.032,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,H21YQ032,121.94,39.03,2018-05,8.08,10.10,0.83,0.091,0.011,0.030
渤海,辽宁,大连,B21YQ005,121.67,39.34,2018-05,8.03,7.86,0.86,0.781,0.007,0.036,劣四类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,B21YQ034,121.52,39.26,2018-05,8.05,8.09,0.74,0.115,0.008,0.036
渤海,辽宁,大连,B21YQ521,121.08,39.09,2018-05,8.14,10.19,0.47,0.040,0.004,0.016,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,B21YQ522,120.88,38.99,2018-05,8.21,9.97,0.79,0.034,0.004,0.015
渤海,辽宁,大连,H00JQ509,121.06,38.43,2018-05,8.13,9.81,0.64,0.034,0.004,0.025,一类,,,,,,,,,,,,,
