bgs,bgs (2),bgs (3),bgs (4),bgs (5),bgs (6),bgs (7),bgs (8),bgs (9),bgs (10),bgs (11),bgs (12),bgs (13),sp_wt,news-item,news-item (2),news-item (3),news-item (4),news-item (5),news-item (6),news-item (7),news-item (8),news-item (9),news-item (10),news-item (11),news-item (12),news-item (13)
黄海,辽宁,丹东,LNH06001,123.97,39.73,2022-11,8.13,8.13,1.06,0.391,0.012,0.022,三类,,,,,,,,,,,,,
,,,,,,,,,,,,,三类,黄海,辽宁,丹东,LNH06002,123.70,39.70,2022-11,8.11,9.10,0.80,0.339,0.018,0.019
黄海,辽宁,丹东,LNH06003,123.65,39.50,2022-10,8.14,7.55,1.19,0.170,0.008,0.014,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,劣四类,黄海,辽宁,丹东,LNH06004,124.12,39.73,2022-11,8.13,8.39,1.35,0.848,0.029,0.015
黄海,辽宁,丹东,LNH06005,124.02,39.53,2022-10,8.15,7.93,1.15,0.212,0.008,未检出,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,三类,黄海,辽宁,丹东,LNH06006,123.65,39.80,2022-11,8.13,7.89,0.87,0.379,0.013,0.011
黄海,辽宁,丹东,LNH06007,123.92,39.80,2022-11,8.08,9.28,1.56,0.335,0.013,0.013,三类,,,,,,,,,,,,,
,,,,,,,,,,,,,劣四类,黄海,辽宁,丹东,LNH06008,124.16,39.80,2022-11,8.14,9.00,1.19,0.715,0.022,0.015
黄海,辽宁,丹东,LNH06009,124.10,39.80,2022-11,8.11,9.12,1.20,0.652,0.024,0.013,劣四类,,,,,,,,,,,,,
,,,,,,,,,,,,,三类,黄海,辽宁,丹东,LNH06010,123.79,39.80,2022-11,8.13,8.91,0.87,0.387,0.020,0.014
黄海,辽宁,丹东,LNH06011,123.84,39.61,2022-10,8.13,7.71,0.97,0.264,0.012,未检出,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,三类,黄海,辽宁,丹东,LNH06012,123.55,39.64,2022-10,8.08,7.73,0.89,0.330,0.015,未检出
渤海,辽宁,大连,LNB02002,121.25,39.79,2022-10,8.19,7.11,0.99,0.197,0.013,0.002,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,劣四类,渤海,辽宁,大连,LNB02003,121.47,39.68,2022-10,8.10,8.34,2.04,1.308,0.035,0.002
渤海,辽宁,大连,LNB02005,121.71,39.35,2022-10,8.43,8.72,1.51,0.257,未检出,0.036,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02008,121.09,39.21,2022-10,8.12,8.05,0.91,0.133,0.012,0.002
渤海,辽宁,大连,LNB02013,120.85,38.68,2022-10,8.08,7.28,0.64,0.081,0.008,未检出,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,渤海,辽宁,大连,LNB02015,121.61,40.00,2022-10,8.20,7.90,1.28,0.276,0.016,0.002
渤海,辽宁,大连,LNB02016,121.21,39.59,2022-10,8.16,7.36,1.33,0.217,0.014,0.001,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02017,121.19,39.45,2022-10,8.18,7.36,1.04,0.188,0.013,未检出
渤海,辽宁,大连,LNB02018,121.40,39.31,2022-10,8.17,7.98,1.37,0.163,0.010,未检出,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02019,121.52,39.12,2022-10,8.24,8.91,1.53,0.094,0.002,未检出
渤海,辽宁,大连,LNB02020,121.21,39.00,2022-10,8.14,8.84,1.37,0.187,0.012,未检出,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02021,120.99,38.94,2022-10,8.09,7.26,0.92,0.144,0.011,0.001
渤海,辽宁,大连,LNB02022,121.06,38.80,2022-10,8.05,7.45,0.95,0.107,0.011,0.002,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,渤海,辽宁,大连,LNB02035,121.42,39.94,2022-10,8.18,7.70,1.10,0.240,0.015,未检出
渤海,辽宁,大连,LNB02036,121.11,38.75,2022-10,8.03,6.62,0.98,0.095,0.011,0.001,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02037,121.40,39.13,2022-10,8.17,7.80,1.16,0.200,0.014,未检出
渤海,辽宁,大连,LNB02038,121.25,39.48,2022-10,8.07,7.36,1.13,0.228,0.042,0.001,四类,,,,,,,,,,,,,
,,,,,,,,,,,,,三类,渤海,辽宁,大连,LNB02039,121.81,40.04,2022-10,8.08,8.55,1.66,0.339,0.023,0.003
渤海,辽宁,大连,LNB02040,121.09,38.88,2022-10,8.08,7.04,1.00,0.118,0.011,0.002,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,渤海,辽宁,大连,LNB02041,121.30,38.98,2022-10,8.07,8.08,1.34,0.223,0.017,未检出
渤海,辽宁,大连,LNB02042,121.51,39.26,2022-10,8.16,8.10,1.20,0.213,0.013,未检出,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,渤海,辽宁,大连,LNB02043,121.31,39.38,2022-10,8.16,7.78,1.03,0.242,0.012,未检出
渤海,辽宁,大连,LNB02044,121.34,39.62,2022-10,8.16,7.61,2.09,0.315,0.021,0.003,三类,,,,,,,,,,,,,
,,,,,,,,,,,,,三类,渤海,辽宁,大连,LNB02045,121.43,39.78,2022-10,8.14,7.99,2.33,0.368,0.023,0.002
渤海,辽宁,大连,LNB02046,121.17,39.33,2022-10,8.10,8.00,1.03,0.162,0.012,未检出,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,渤海,辽宁,大连,LNB02047,121.67,40.09,2022-10,8.17,8.29,1.18,0.251,0.015,0.001
渤海,辽宁,大连,LNB02048,120.89,38.99,2022-10,8.11,7.44,0.71,0.099,0.010,0.001,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02049,121.11,38.55,2022-10,8.12,7.38,0.65,0.073,0.007,0.006
渤海,辽宁,大连,LNB02050,121.66,39.33,2022-10,8.14,8.08,1.28,0.227,未检出,未检出,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02051,121.10,39.01,2022-10,8.14,7.86,1.42,0.192,0.013,0.004
渤海,辽宁,大连,LNB02052,121.58,39.24,2022-10,8.31,8.56,1.41,0.131,0.002,未检出,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02053,121.21,39.17,2022-10,8.11,8.07,1.05,0.174,0.012,0.002
渤海,辽宁,大连,LNB02054,121.25,39.46,2022-10,8.08,7.21,0.95,0.198,0.047,未检出,劣四类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02055,121.47,39.07,2022-10,8.21,10.60,1.29,0.110,0.002,0.001
渤海,辽宁,大连,LNB02056,121.58,39.16,2022-10,8.26,8.62,1.60,0.125,0.003,0.004,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02004,123.02,39.63,2022-11,8.07,7.78,0.98,0.169,0.010,0.007
黄海,辽宁,大连,LNH02006,123.14,39.28,2022-10,8.14,7.36,0.60,0.122,0.011,未检出,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,黄海,辽宁,大连,LNH02007,122.75,39.22,2022-11,8.10,8.08,0.78,0.026,0.024,未检出
黄海,辽宁,大连,LNH02009,121.95,38.96,2022-10,8.14,7.42,0.72,0.124,0.010,未检出,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02010,121.76,38.94,2022-10,8.14,6.98,0.66,0.044,0.012,未检出
黄海,辽宁,大连,LNH02011,122.40,38.90,2022-10,8.05,7.53,0.69,0.180,0.011,0.006,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02012,121.91,38.68,2022-10,8.13,7.77,0.68,0.126,0.012,未检出
黄海,辽宁,大连,LNH02014,121.36,38.54,2022-10,8.21,7.43,0.83,0.035,0.010,0.022,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02023,121.19,38.71,2022-10,8.10,6.60,0.74,0.047,0.011,0.011
黄海,辽宁,大连,LNH02024,121.35,38.79,2022-10,8.14,7.27,0.72,0.042,0.007,未检出,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02025,121.56,38.84,2022-10,8.09,6.76,0.81,0.016,0.008,未检出
黄海,辽宁,大连,LNH02026,121.67,38.95,2022-10,8.19,8.23,0.64,0.158,0.015,0.018,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,黄海,辽宁,大连,LNH02027,121.76,38.99,2022-10,8.11,7.43,0.62,0.055,0.020,0.011
黄海,辽宁,大连,LNH02028,121.82,38.86,2022-10,8.18,7.25,0.64,0.041,0.008,0.009,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02029,121.89,39.01,2022-11,8.13,7.56,0.78,0.048,0.006,0.006
黄海,辽宁,大连,LNH02030,121.95,39.01,2022-11,8.13,7.48,0.69,0.033,0.006,0.005,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02031,122.21,39.16,2022-11,8.12,7.66,0.81,0.094,0.006,0.007
黄海,辽宁,大连,LNH02032,122.36,39.30,2022-11,8.13,7.63,0.90,0.013,0.010,未检出,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02033,122.67,39.47,2022-10,8.27,8.72,0.83,0.081,0.008,未检出
黄海,辽宁,大连,LNH02034,123.37,39.70,2022-10,8.04,7.89,0.66,0.419,0.022,0.005,四类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02057,122.00,38.42,2022-10,8.11,7.82,0.62,0.083,0.006,0.004
黄海,辽宁,大连,LNH02058,123.08,38.43,2022-10,8.21,7.85,0.80,0.059,0.004,未检出,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02059,121.75,38.78,2022-10,8.21,7.81,0.67,0.032,0.005,0.013
黄海,辽宁,大连,LNH02060,121.63,38.50,2022-10,8.12,7.65,0.69,0.090,0.006,未检出,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02061,123.31,39.42,2022-11,7.90,7.80,0.74,0.080,0.007,0.015
黄海,辽宁,大连,LNH02062,123.33,38.92,2022-10,8.08,7.56,0.90,0.118,0.008,未检出,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02063,122.61,39.43,2022-10,8.10,8.59,0.82,0.120,0.010,未检出
