bgs,bgs (2),bgs (3),bgs (4),bgs (5),bgs (6),bgs (7),bgs (8),bgs (9),bgs (10),bgs (11),bgs (12),bgs (13),sp_wt,news-item,news-item (2),news-item (3),news-item (4),news-item (5),news-item (6),news-item (7),news-item (8),news-item (9),news-item (10),news-item (11),news-item (12),news-item (13)
黄海,辽宁,丹东,LN0601,123.97,39.73,2019-04,7.92,9.81,0.940,0.289,0.003,0.016,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,黄海,辽宁,丹东,LN0602,123.70,39.70,2019-04,8.02,10.23,1.650,0.212,0.003,0.023
黄海,辽宁,丹东,LN0603,123.65,39.50,2019-04,8.10,11.01,1.125,0.118,0.001,0.022,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,四类,黄海,辽宁,丹东,LN0604,124.12,39.73,2019-04,7.94,10.03,1.360,0.461,0.009,0.024
黄海,辽宁,丹东,H00JQ007,123.58,39.40,2019-05,8.09,10.18,0.903,0.075,未检出,0.015,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,丹东,H00JQ510,124.02,39.53,2019-04,8.02,11.18,0.790,0.090,0.002,0.010
黄海,辽宁,丹东,H21YQ501,123.65,39.74,2019-04,7.94,9.26,2.530,0.091,0.015,0.036,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,丹东,H21JQ508,123.83,39.54,2019-04,8.11,11.16,1.280,0.085,0.001,0.017
黄海,辽宁,丹东,H21YQ008,123.65,39.80,2019-04,7.92,9.59,1.340,0.088,0.003,0.013,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,黄海,辽宁,丹东,H21YQ512,123.93,39.83,2019-04,8.00,9.06,1.450,0.272,0.003,0.016
黄海,辽宁,丹东,H21YQ514,123.61,39.57,2019-04,8.08,10.80,1.030,0.144,0.001,0.018,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,劣四类,黄海,辽宁,丹东,H21ZQ001,124.20,39.85,2019-04,7.79,8.65,4.560,1.001,0.011,0.036
黄海,辽宁,丹东,H21ZQ002,124.17,39.80,2019-04,7.98,9.71,1.820,0.607,0.005,0.022,劣四类,,,,,,,,,,,,,
,,,,,,,,,,,,,三类,黄海,辽宁,丹东,H21ZQ003,124.10,39.80,2019-04,7.91,9.63,1.460,0.365,0.007,0.023
黄海,辽宁,丹东,H21ZQ004,124.15,39.77,2019-04,7.92,10.10,1.490,0.629,0.004,0.040,劣四类,,,,,,,,,,,,,
,,,,,,,,,,,,,三类,黄海,辽宁,丹东,H21ZQ005,124.07,39.75,2019-04,7.93,9.77,1.170,0.368,0.003,0.023
黄海,辽宁,丹东,H21ZQ006,124.13,39.71,2019-04,7.90,9.79,1.420,0.515,0.003,0.018,劣四类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,黄海,辽宁,丹东,H21ZQ007,124.00,39.69,2019-04,8.00,10.45,0.885,0.235,0.003,0.017
渤海,辽宁,大连,LN0202,121.25,39.79,2019-06,8.01,8.58,0.997,0.019,0.001,0.017,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LN0203,121.47,39.68,2019-06,8.05,8.28,1.070,0.015,0.001,0.015
黄海,辽宁,大连,LN0204,123.02,39.64,2019-05,8.31,10.70,1.730,0.008,0.009,0.025,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,四类,渤海,辽宁,大连,LN0205,121.71,39.35,2019-06,7.84,6.72,1.190,0.440,0.029,0.031
黄海,辽宁,大连,LN0206,123.14,39.28,2019-05,8.11,10.59,1.040,0.012,0.001,0.013,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LN0207,122.75,39.22,2019-05,8.12,10.73,0.920,0.015,0.002,0.013
渤海,辽宁,大连,LN0208,121.09,39.21,2019-06,8.00,8.76,0.995,0.011,0.003,0.013,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LN0209,121.95,38.96,2019-06,8.03,9.06,1.023,0.016,0.001,0.026
黄海,辽宁,大连,LN0210,121.76,38.94,2019-06,8.07,8.88,0.975,0.018,0.002,0.018,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LN0211,122.40,38.90,2019-05,7.98,9.89,0.923,0.031,0.004,0.017
黄海,辽宁,大连,LN0212,121.91,38.68,2019-06,8.13,9.37,0.800,0.006,未检出,0.021,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LN0213,120.85,38.68,2019-06,8.00,9.29,0.680,0.013,0.002,0.013
